trip_id,start_time,end_time,headway_secs,exact_times
205745_7553,03:41:00,05:53:00,3960,1
205751_7559,06:41:00,19:33:00,23160,1
205751_7559,13:48:00,14:48:00,1800,1
205751_7559,14:52:00,15:36:00,1320,1
205751_7559,16:11:00,18:29:00,4140,1
205751_7559,18:06:00,19:32:00,2580,1
205771_7579,05:37:00,06:27:00,1500,1
205771_7579,06:33:00,07:27:00,1620,1
